Location,Gen.,Con.,Imports,Exports,Net imports
Kuwait,71.0,65.0,0.0,0.0,0.0
Finland,70.0,84.0,24.0,7.0,17.0
Austria,64.0,69.0,26.0,19.0,8.0
Switzerland,60.0,58.0,32.0,29.0,3.0
Uzbekistan,59.0,58.0,5.0,3.0,3.0
Peru,58.0,52.0,0.04,0.0,0.04
Romania,55.0,51.0,9.0,6.0,2.0
Singapore,53.0,53.0,0.0,0.0,0.0
Greece,52.0,52.0,8.0,4.0,4.0
Qatar,48.0,45.0,0.0,0.0,0.0
Portugal,47.0,48.0,10.0,5.0,5.0
Belarus,44.0,41.0,4.0,5.0,0.0
New Zealand,43.0,41.0,0.0,0.0,0.0
Bulgaria,42.0,30.0,2.0,11.0,-9.0
Morocco,41.0,35.0,2.0,0.9,1.0
Paraguay,40.0,8.0,0.0,28.0,-28.0
Laos,40.0,6.0,1.0,33.0,-31.0
Oman,37.0,33.0,0.0,0.0,0.0
Hong Kong,35.0,46.0,13.0,0.0,13.0
Serbia,35.0,31.0,7.0,6.0,0.7
Hungary,34.0,44.0,20.0,7.0,13.0
Ireland,34.0,33.0,2.0,0.9,1.0
Denmark,33.0,38.0,19.0,13.0,6.0
Ecuador,32.0,27.0,0.3,1.0,-1.0
Libya,32.0,27.0,1.0,0.0,1.0
Bahrain,32.0,31.0,0.7,0.4,0.2
Nigeria,31.0,27.0,0.0,0.0,0.0
Slovakia,27.0,26.0,14.0,13.0,0.8
Azerbaijan,26.0,25.0,0.2,2.0,-2.0
Burma,22.0,17.0,0.0,1.0,-1.0
Jordan,22.0,20.0,0.3,0.2,0.1
Turkmenistan,21.0,15.0,0.0,3.0,-3.0
Ghana,21.0,18.0,0.06,1.0,-1.0
Tunisia,21.0,16.0,0.4,1.0,-1.0
Lebanon,21.0,19.0,0.09,0.0,0.09
Mozambique,20.0,13.0,8.0,12.0,-4.0
Cuba,20.0,16.0,0.0,0.0,0.0
Tajikistan,20.0,16.0,0.4,2.0,-1.0
Iceland,19.0,19.0,0.0,0.0,0.0
Puerto Rico,18.0,17.0,0.0,0.0,0.0
Zambia,18.0,14.0,0.1,1.0,-1.0
Dominican Republic,18.0,15.0,0.0,0.0,0.0
Bosnia and Herzegovina,17.0,11.0,3.0,8.0,-5.0
Syria,17.0,13.0,0.0,0.3,0.0
Sudan,17.0,13.0,0.0,0.0,0.0
Angola,16.0,15.0,0.0,0.0,0.0
Sri Lanka,16.0,15.0,0.0,0.0,0.0
Uruguay,16.0,14.0,0.5,2.0,-1.0
Slovenia,15.0,14.0,8.0,9.0,0.0
Ethiopia,15.0,10.0,0.0,2.0,-2.0
Croatia,15.0,16.0,11.0,8.0,3.0
Kyrgyzstan,14.0,12.0,0.4,0.3,0.05
North Korea,14.0,12.0,0.0,0.0,0.0
Guatemala,14.0,13.0,1.0,1.0,0.0
Costa Rica,13.0,11.0,0.01,1.0,-1.0
Georgia,13.0,13.0,3.0,2.0,2.0
Honduras,12.0,8.0,0.3,0.5,0.0
Kenya,12.0,9.0,0.2,0.02,0.1
Panama,11.0,9.0,0.06,0.6,-1.0
DR Congo,11.0,9.0,0.4,0.2,0.2
Ivory Coast,11.0,8.0,0.06,1.0,-1.0
Bolivia,11.0,10.0,0.0,0.0,0.0
Bhutan,9.0,3.0,0.1,5.0,-5.0
Albania,9.0,7.0,2.0,3.0,-1.0
Trinidad and Tobago,9.0,8.0,0.0,0.0,0.0
Cambodia,9.0,11.0,4.0,0.0,4.0
Tanzania,8.0,7.0,0.1,0.0,0.1
Cameroon,8.0,6.0,0.02,0.0,0.02
Zimbabwe,8.0,8.0,2.0,0.4,2.0
Armenia,7.0,6.0,0.4,1.0,-1.0
Mongolia,7.0,8.0,2.0,0.04,2.0
Moldova,7.0,10.0,3.0,0.0,3.0
Estonia,7.0,9.0,7.0,5.0,3.0
El Salvador,7.0,6.0,0.8,0.1,0.7
Kosovo,6.0,6.0,1.0,1.0,0.2
Nepal,6.0,7.0,3.0,0.1,3.0
Senegal,6.0,5.0,0.4,0.0,0.4
Latvia,6.0,7.0,5.0,3.0,2.0
North Macedonia,5.0,7.0,3.0,0.4,2.0
Cyprus,5.0,5.0,0.0,0.0,0.0
Papua New Guinea,5.0,5.0,0.0,0.0,0.0
Brunei,5.0,4.0,0.0,0.0,0.0
Nicaragua,5.0,5.0,1.0,0.0,1.0
Uganda,4.0,3.0,0.02,0.2,0.0
Jamaica,4.0,3.0,0.0,0.0,0.0
Congo,4.0,2.0,0.02,0.02,0.002
Lithuania,4.0,12.0,12.0,3.0,9.0
Yemen,4.0,3.0,0.0,0.0,0.0
Mali,3.0,3.0,0.2,0.6,0.0
New Caledonia,3.0,3.0,0.0,0.0,0.0
Montenegro,3.0,3.0,6.0,6.0,0.08
Mauritius,3.0,3.0,0.0,0.0,0.0
Guinea,3.0,2.0,0.0,0.0,0.0
Gabon,2.0,2.0,0.5,0.0,0.5
Botswana,2.0,3.0,2.0,0.0,2.0
Bahamas,2.0,2.0,0.0,0.0,0.0
Malta,2.0,2.0,0.5,0.04,0.5
Madagascar,2.0,2.0,0.0,0.0,0.0
Suriname,2.0,2.0,0.8,0.0,0.8
Mauritania,2.0,2.0,0.2,0.0,0.2
Guam,2.0,2.0,0.0,0.0,0.0
Burkina Faso,2.0,3.0,1.0,0.0,1.0
Namibia,2.0,3.0,3.0,0.6,2.0
Malawi,1.0,1.0,0.0,0.0,0.0
Equatorial Guinea,1.0,1.0,0.0,0.0,0.0
Guyana,1.0,1.0,0.0,0.0,0.0
Fiji,1.0,1.0,0.0,0.0,0.0
Barbados,1.0,1.0,0.0,0.0,0.0
Haiti,1.0,0.4,0.0,0.0,0.0
Aruba,0.9,1.0,0.0,0.0,0.0
Luxembourg,0.9,6.0,7.0,1.0,6.0
Liberia,0.9,1.0,0.0,0.0,0.0
Caribbean Netherlands,0.9,1.0,0.0,0.0,0.0
Palestine,0.9,6.0,6.0,0.0,6.0
Rwanda,0.9,1.0,0.04,0.01,0.03
Afghanistan,0.8,6.0,5.0,0.0,5.0
Eswatini,0.7,1.0,0.9,0.0,0.9
Cayman Islands,0.7,1.0,0.0,0.0,0.0
U.S. Virgin Islands,0.7,1.0,0.0,0.0,0.0
French Polynesia,0.7,1.0,0.0,0.0,0.0
Maldives,0.7,1.0,0.0,0.0,0.0
Belize,0.6,1.0,0.4,0.0,0.4
Seychelles,0.6,1.0,0.0,0.0,0.0
Togo,0.6,1.0,0.8,0.0,0.8
Greenland,0.6,1.0,0.0,0.0,0.0
Macau,0.6,6.0,5.0,0.0,5.0
Bermuda,0.6,1.0,0.0,0.0,0.0
South Sudan,0.6,1.0,0.0,0.0,0.0
Timor-Leste,0.5,0.4,0.0,0.0,0.0
Lesotho,0.5,1.0,0.5,0.0,0.5
Cape Verde,0.5,0.3,0.0,0.0,0.0
Eritrea,0.5,0.4,0.0,0.0,0.0
Niger,0.5,1.0,1.0,0.0,1.0
Faroe Islands,0.4,0.4,0.0,0.0,0.0
Somalia,0.4,0.4,0.0,0.0,0.0
Burundi,0.4,0.4,0.1,0.0,0.1
Saint Lucia,0.4,0.3,0.0,0.0,0.0
Antigua and Barbuda,0.4,0.3,0.0,0.0,0.0
Chad,0.3,0.3,0.0,0.0,0.0
Gambia,0.3,0.2,0.0,0.0,0.0
Turks and Caicos Islands,0.3,0.3,0.0,0.0,0.0
Benin,0.2,1.0,0.6,0.002,0.6
Grenada,0.2,0.2,0.0,0.0,0.0
Saint Kitts and Nevis,0.2,0.2,0.0,0.0,0.0
Gibraltar,0.2,0.2,0.0,0.0,0.0
Sierra Leone,0.2,0.1,0.0,0.0,0.0
Samoa,0.2,0.2,0.0,0.0,0.0
Dominica,0.2,0.2,0.0,0.0,0.0
American Samoa,0.2,0.2,0.0,0.0,0.0
Saint Vincent and the Grenadines,0.2,0.2,0.0,0.0,0.0
Central African Republic,0.2,0.1,0.0,0.0,0.0
British Virgin Islands,0.1,0.1,0.0,0.0,0.0
Comoros,0.1,0.1,0.0,0.0,0.0
Solomon Islands,0.1,0.1,0.0,0.0,0.0
São Tomé and Príncipe,0.1,0.09,0.0,0.0,0.0
Guinea-Bissau,0.08,0.08,0.0,0.0,0.0
Tonga,0.08,0.07,0.0,0.0,0.0
Vanuatu,0.07,0.07,0.0,0.0,0.0
Djibouti,0.06,0.5,0.5,0.0,0.5
Saint Pierre and Miquelon,0.05,0.05,0.0,0.0,0.0
Cook Islands,0.04,0.04,0.0,0.0,0.0
Nauru,0.04,0.04,0.0,0.0,0.0
Kiribati,0.03,0.03,0.0,0.0,0.0
Falkland Islands,0.02,0.02,0.0,0.0,0.0
Montserrat,0.01,0.01,0.0,0.0,0.0
Saint Helena,0.01,0.01,0.0,0.0,0.0
Niue,0.004,0.003,0.0,0.0,0.0
